LAT,LON,T2M_MIN,DATE
-39,144.375,16.32,2006-01-30
-39,145,16.56,2006-01-30
-39,145.625,16.52,2006-01-30
-38.5,143.125,13.28,2006-01-30
-38.5,143.75,14.03,2006-01-30
-38.5,144.375,15.83,2006-01-30
-38.5,145,16.14,2006-01-30
-38.5,145.625,13.48,2006-01-30
-38,143.125,11.61,2006-01-30
-38,143.75,12.71,2006-01-30
-38,144.375,13.84,2006-01-30
-38,145,13.27,2006-01-30
-38,145.625,10.82,2006-01-30
-40,143.125,15.65,2006-01-31
-40,143.75,16.02,2006-01-31
-40,144.375,16.29,2006-01-31
-40,145,16.84,2006-01-31
-40,145.625,16.77,2006-01-31
-39.5,143.125,15.93,2006-01-31
